open,high,low,close,volume,timestamp
64.87,64.94,64.72,64.87,379.759,2023-08-08 03:00:00+00:00
64.87,65.38,64.75,65.32,8411.988,2023-08-08 04:00:00+00:00
65.33,65.5,65.15,65.34,1276.069,2023-08-08 05:00:00+00:00
65.37,65.94,65.32,65.48,4337.22,2023-08-08 06:00:00+00:00
65.47,65.62,65.36,65.4,600.461,2023-08-08 07:00:00+00:00
65.36,65.87,65.27,65.69,4130.015,2023-08-08 08:00:00+00:00
65.64,65.88,65.41,65.46,2989.016,2023-08-08 09:00:00+00:00
65.46,65.97,65.46,65.88,2756.524,2023-08-08 10:00:00+00:00
65.88,66.21,65.73,66.11,5286.304,2023-08-08 11:00:00+00:00
66.13,66.15,65.68,66.08,4799.289,2023-08-08 12:00:00+00:00
66.07,66.38,65.19,65.36,11667.752,2023-08-08 13:00:00+00:00
65.36,65.81,65.22,65.56,2137.117,2023-08-08 14:00:00+00:00
65.57,65.94,65.45,65.79,4344.958,2023-08-08 15:00:00+00:00
65.77,66.78,65.73,66.55,5555.597,2023-08-08 16:00:00+00:00
66.56,66.78,66.24,66.62,7245.2,2023-08-08 17:00:00+00:00
66.63,66.98,66.32,66.48,4513.24,2023-08-08 18:00:00+00:00
66.5,66.73,66.24,66.26,3240.576,2023-08-08 19:00:00+00:00
66.27,66.5,66.15,66.47,3087.376,2023-08-08 20:00:00+00:00
66.47,67.11,66.47,66.75,8642.138,2023-08-08 21:00:00+00:00
66.71,66.82,66.33,66.51,3130.326,2023-08-08 22:00:00+00:00
66.51,66.69,66.17,66.27,3726.412,2023-08-08 23:00:00+00:00
66.27,66.73,66.19,66.5,18458.749,2023-08-09 00:00:00+00:00
66.5,66.58,66.26,66.36,2441.264,2023-08-09 01:00:00+00:00
66.39,66.47,65.89,65.91,3357.608,2023-08-09 02:00:00+00:00
65.9,66.06,65.85,65.99,1705.505,2023-08-09 03:00:00+00:00
66.01,66.27,65.87,66.24,1430.08,2023-08-09 04:00:00+00:00
66.25,66.5,66.24,66.47,2154.563,2023-08-09 05:00:00+00:00
66.46,66.58,66.25,66.58,2029.13,2023-08-09 06:00:00+00:00
66.58,66.7,66.51,66.59,1505.111,2023-08-09 07:00:00+00:00
66.58,66.86,66.54,66.85,2737.037,2023-08-09 08:00:00+00:00
66.86,67.46,66.79,67.03,11658.085,2023-08-09 09:00:00+00:00
67.03,67.35,66.88,67.35,5582.835,2023-08-09 10:00:00+00:00
67.34,67.45,67.04,67.29,2687.79,2023-08-09 11:00:00+00:00
67.27,67.96,67.15,67.93,7581.166,2023-08-09 12:00:00+00:00
67.93,67.99,67.47,67.5,5887.634,2023-08-09 13:00:00+00:00
67.49,67.72,66.9,66.97,7265.602,2023-08-09 14:00:00+00:00
66.95,67.16,66.59,66.73,5510.613,2023-08-09 15:00:00+00:00
66.71,66.81,66.33,66.44,4313.98,2023-08-09 16:00:00+00:00
