open,high,low,close,volume,timestamp
8.496,8.503,8.483,8.5,17476.31,2023-08-08 03:00:00+00:00
8.499,8.556,8.495,8.556,23258.88,2023-08-08 04:00:00+00:00
8.555,8.574,8.537,8.558,18699.92,2023-08-08 05:00:00+00:00
8.557,8.584,8.545,8.555,26722.17,2023-08-08 06:00:00+00:00
8.553,8.573,8.533,8.534,30404.85,2023-08-08 07:00:00+00:00
8.536,8.553,8.519,8.519,20742.01,2023-08-08 08:00:00+00:00
8.518,8.536,8.509,8.524,27138.63,2023-08-08 09:00:00+00:00
8.524,8.578,8.524,8.578,31486.82,2023-08-08 10:00:00+00:00
8.578,8.6,8.555,8.598,36856.45,2023-08-08 11:00:00+00:00
8.599,8.636,8.578,8.62,45274.87,2023-08-08 12:00:00+00:00
8.619,8.632,8.448,8.452,146615.99,2023-08-08 13:00:00+00:00
8.452,8.517,8.45,8.497,44956.53,2023-08-08 14:00:00+00:00
8.501,8.558,8.501,8.539,30812.46,2023-08-08 15:00:00+00:00
8.536,8.59,8.519,8.56,78368.31,2023-08-08 16:00:00+00:00
8.564,8.581,8.527,8.556,38023.68,2023-08-08 17:00:00+00:00
8.559,8.609,8.546,8.552,63808.45,2023-08-08 18:00:00+00:00
8.552,8.601,8.548,8.576,35205.18,2023-08-08 19:00:00+00:00
8.576,8.612,8.56,8.584,30833.66,2023-08-08 20:00:00+00:00
8.584,8.667,8.56,8.581,87388.94,2023-08-08 21:00:00+00:00
8.582,8.591,8.525,8.538,53930.43,2023-08-08 22:00:00+00:00
8.539,8.546,8.513,8.521,33606.31,2023-08-08 23:00:00+00:00
8.522,8.55,8.513,8.532,28969.07,2023-08-09 00:00:00+00:00
8.529,8.559,8.502,8.536,21770.17,2023-08-09 01:00:00+00:00
8.536,8.539,8.47,8.483,29611.58,2023-08-09 02:00:00+00:00
8.482,8.498,8.476,8.483,15065.04,2023-08-09 03:00:00+00:00
8.484,8.523,8.478,8.52,22003.51,2023-08-09 04:00:00+00:00
8.521,8.562,8.521,8.546,28310.24,2023-08-09 05:00:00+00:00
8.55,8.553,8.51,8.525,21148.58,2023-08-09 06:00:00+00:00
8.523,8.56,8.523,8.558,27125.67,2023-08-09 07:00:00+00:00
8.558,8.579,8.551,8.577,27817.79,2023-08-09 08:00:00+00:00
8.578,8.578,8.554,8.559,18637.3,2023-08-09 09:00:00+00:00
8.558,8.602,8.551,8.598,33696.33,2023-08-09 10:00:00+00:00
8.595,8.596,8.549,8.576,26738.16,2023-08-09 11:00:00+00:00
8.576,8.678,8.564,8.669,80204.78,2023-08-09 12:00:00+00:00
8.672,8.673,8.6,8.606,43092.68,2023-08-09 13:00:00+00:00
8.605,8.636,8.549,8.551,54248.3,2023-08-09 14:00:00+00:00
8.55,8.564,8.526,8.545,44250.67,2023-08-09 15:00:00+00:00
8.545,8.555,8.507,8.512,32050.57,2023-08-09 16:00:00+00:00
8.509,8.537,8.492,8.498,30110.44,2023-08-09 17:00:00+00:00
8.499,8.527,8.487,8.508,17818.34,2023-08-09 18:00:00+00:00
8.506,8.518,8.472,8.478,28123.03,2023-08-09 19:00:00+00:00
8.479,8.508,8.475,8.505,17644.18,2023-08-09 20:00:00+00:00
8.505,8.505,8.433,8.503,50759.6,2023-08-09 21:00:00+00:00
8.504,8.529,8.497,8.527,16635.69,2023-08-09 22:00:00+00:00
8.528,8.55,8.519,8.545,22213.93,2023-08-09 23:00:00+00:00
8.546,8.546,8.502,8.526,24103.33,2023-08-10 00:00:00+00:00
8.527,8.539,8.509,8.522,23232.93,2023-08-10 01:00:00+00:00
8.52,8.539,8.503,8.51,35149.8,2023-08-10 02:00:00+00:00
8.506,8.514,8.469,8.475,39293.96,2023-08-10 03:00:00+00:00
8.475,8.475,8.447,8.467,25253.65,2023-08-10 04:00:00+00:00
8.467,8.49,8.457,8.484,12090.75,2023-08-10 05:00:00+00:00
8.483,8.493,8.42,8.435,51539.31,2023-08-10 06:00:00+00:00
8.434,8.452,8.424,8.439,13377.56,2023-08-10 07:00:00+00:00
8.438,8.447,8.426,8.447,15282.49,2023-08-10 08:00:00+00:00
8.448,8.463,8.431,8.463,16296.45,2023-08-10 09:00:00+00:00
8.462,8.481,8.456,8.481,15907.87,2023-08-10 10:00:00+00:00
8.48,8.481,8.455,8.46,16802.59,2023-08-10 11:00:00+00:00
8.461,8.516,8.452,8.491,46521.52,2023-08-10 12:00:00+00:00
8.493,8.541,8.472,8.54,36146.39,2023-08-10 13:00:00+00:00
8.541,8.569,8.465,8.483,37159.84,2023-08-10 14:00:00+00:00
8.482,8.493,8.467,8.479,34765.99,2023-08-10 15:00:00+00:00
