open,high,low,close,volume,timestamp
4.95,4.958,4.946,4.954,14110.42,2023-08-08 03:00:00+00:00
4.954,4.971,4.945,4.969,24985.38,2023-08-08 04:00:00+00:00
4.97,4.987,4.967,4.981,42260.19,2023-08-08 05:00:00+00:00
4.981,4.99,4.977,4.978,39712.57,2023-08-08 06:00:00+00:00
4.978,4.98,4.966,4.967,33855.66,2023-08-08 07:00:00+00:00
4.967,4.976,4.961,4.971,31326.04,2023-08-08 08:00:00+00:00
4.972,4.984,4.97,4.979,55056.79,2023-08-08 09:00:00+00:00
4.978,4.997,4.976,4.996,30864.86,2023-08-08 10:00:00+00:00
4.997,5.015,4.983,5.015,82906.34,2023-08-08 11:00:00+00:00
5.016,5.037,5.005,5.035,66043.0,2023-08-08 12:00:00+00:00
5.035,5.045,5.004,5.005,113824.09,2023-08-08 13:00:00+00:00
5.004,5.024,5.004,5.01,51682.62,2023-08-08 14:00:00+00:00
5.009,5.043,5.009,5.03,58902.41,2023-08-08 15:00:00+00:00
5.03,5.081,5.026,5.065,133409.7,2023-08-08 16:00:00+00:00
5.065,5.075,5.047,5.068,90551.73,2023-08-08 17:00:00+00:00
5.068,5.096,5.046,5.055,125751.7,2023-08-08 18:00:00+00:00
5.055,5.07,5.045,5.048,72032.97,2023-08-08 19:00:00+00:00
5.049,5.071,5.043,5.063,42603.28,2023-08-08 20:00:00+00:00
5.063,5.098,5.055,5.072,102945.66,2023-08-08 21:00:00+00:00
5.071,5.077,5.05,5.053,32008.71,2023-08-08 22:00:00+00:00
5.053,5.071,5.053,5.059,35127.25,2023-08-08 23:00:00+00:00
5.06,5.072,5.052,5.052,26315.6,2023-08-09 00:00:00+00:00
5.053,5.079,5.047,5.065,32986.83,2023-08-09 01:00:00+00:00
5.065,5.069,5.029,5.04,62275.33,2023-08-09 02:00:00+00:00
5.04,5.045,5.036,5.043,20609.28,2023-08-09 03:00:00+00:00
5.043,5.052,5.04,5.051,37741.08,2023-08-09 04:00:00+00:00
5.052,5.053,5.039,5.045,42750.9,2023-08-09 05:00:00+00:00
5.045,5.047,5.028,5.035,42892.96,2023-08-09 06:00:00+00:00
