open,high,low,close,volume,timestamp
0.1998,0.2003,0.1994,0.2002,439778.0,2023-08-09 10:00:00+00:00
0.2002,0.2005,0.1989,0.1995,610493.0,2023-08-09 11:00:00+00:00
0.1996,0.2028,0.1992,0.2028,2083302.0,2023-08-09 12:00:00+00:00
0.2028,0.2035,0.2009,0.2012,1766007.0,2023-08-09 13:00:00+00:00
0.201,0.2018,0.1991,0.1993,1897838.0,2023-08-09 14:00:00+00:00
0.1992,0.1999,0.1986,0.1992,845632.0,2023-08-09 15:00:00+00:00
0.1991,0.1996,0.1984,0.1987,929177.0,2023-08-09 16:00:00+00:00
0.1986,0.1992,0.1971,0.1974,1040821.0,2023-08-09 17:00:00+00:00
0.1975,0.1985,0.1973,0.1979,361471.0,2023-08-09 18:00:00+00:00
0.198,0.1981,0.1967,0.1971,492846.0,2023-08-09 19:00:00+00:00
0.1971,0.1978,0.197,0.1977,282269.0,2023-08-09 20:00:00+00:00
0.1977,0.1979,0.1956,0.1972,1195771.0,2023-08-09 21:00:00+00:00
0.1972,0.1977,0.1969,0.1976,475643.0,2023-08-09 22:00:00+00:00
0.1976,0.1989,0.1976,0.1988,456766.0,2023-08-09 23:00:00+00:00
0.1989,0.1996,0.1984,0.1996,388223.0,2023-08-10 00:00:00+00:00
0.1997,0.2001,0.1992,0.1996,256125.0,2023-08-10 01:00:00+00:00
0.1996,0.2001,0.1988,0.1989,172340.0,2023-08-10 02:00:00+00:00
0.1989,0.1992,0.1984,0.1985,182100.0,2023-08-10 03:00:00+00:00
0.1986,0.1986,0.1977,0.1982,358011.0,2023-08-10 04:00:00+00:00
0.198,0.1985,0.1974,0.1984,206890.0,2023-08-10 05:00:00+00:00
0.1984,0.1988,0.1979,0.198,231269.0,2023-08-10 06:00:00+00:00
0.198,0.1987,0.1973,0.1977,608042.0,2023-08-10 07:00:00+00:00
0.1977,0.1983,0.1972,0.1982,459163.0,2023-08-10 08:00:00+00:00
0.1981,0.1981,0.1961,0.1973,1767308.0,2023-08-10 09:00:00+00:00
0.1973,0.1982,0.1972,0.1981,344086.0,2023-08-10 10:00:00+00:00
0.1981,0.1985,0.1973,0.1975,672165.0,2023-08-10 11:00:00+00:00
0.1974,0.1999,0.1973,0.1997,1106113.0,2023-08-10 12:00:00+00:00
0.1998,0.2026,0.199,0.2024,2567823.0,2023-08-10 13:00:00+00:00
0.2024,0.204,0.2001,0.2006,2449469.0,2023-08-10 14:00:00+00:00
0.2006,0.2022,0.2005,0.2019,971747.0,2023-08-10 15:00:00+00:00
0.2019,0.2025,0.2012,0.2013,749268.0,2023-08-10 16:00:00+00:00
0.2013,0.2015,0.2,0.2001,526878.0,2023-08-10 17:00:00+00:00
0.2001,0.2007,0.1996,0.1997,515863.0,2023-08-10 18:00:00+00:00
0.1998,0.2,0.1991,0.1996,685897.0,2023-08-10 19:00:00+00:00
0.1996,0.2005,0.1995,0.1999,347124.0,2023-08-10 20:00:00+00:00
0.2,0.2011,0.2,0.2008,399740.0,2023-08-10 21:00:00+00:00
0.2007,0.2011,0.2001,0.2002,265917.0,2023-08-10 22:00:00+00:00
0.2001,0.201,0.2001,0.2009,154148.0,2023-08-10 23:00:00+00:00
0.201,0.2024,0.2006,0.2021,351086.0,2023-08-11 00:00:00+00:00
0.2021,0.2021,0.2007,0.2013,396440.0,2023-08-11 01:00:00+00:00
0.2013,0.2021,0.1997,0.2,308613.0,2023-08-11 02:00:00+00:00
0.2001,0.2018,0.1998,0.2015,491080.0,2023-08-11 03:00:00+00:00
0.2015,0.2033,0.2015,0.2028,477331.0,2023-08-11 04:00:00+00:00
0.2028,0.2034,0.2019,0.2033,545841.0,2023-08-11 05:00:00+00:00
0.2034,0.2037,0.2026,0.2034,515267.0,2023-08-11 06:00:00+00:00
0.2034,0.2034,0.2021,0.2022,319529.0,2023-08-11 07:00:00+00:00
0.2022,0.2023,0.2015,0.2016,334787.0,2023-08-11 08:00:00+00:00
0.2015,0.2021,0.2008,0.2009,499583.0,2023-08-11 09:00:00+00:00
0.2009,0.2016,0.2009,0.2011,287443.0,2023-08-11 10:00:00+00:00
0.2011,0.2017,0.201,0.2015,276041.0,2023-08-11 11:00:00+00:00
0.2016,0.2021,0.2007,0.2014,420796.0,2023-08-11 12:00:00+00:00
0.2013,0.2028,0.2012,0.2025,666767.0,2023-08-11 13:00:00+00:00
0.2026,0.2029,0.202,0.2021,664273.0,2023-08-11 14:00:00+00:00
0.2021,0.2024,0.2009,0.2018,819034.0,2023-08-11 15:00:00+00:00
0.2019,0.2024,0.2008,0.2019,474813.0,2023-08-11 16:00:00+00:00
0.2019,0.2022,0.2012,0.2016,247893.0,2023-08-11 17:00:00+00:00
0.2016,0.2026,0.2014,0.2018,426047.0,2023-08-11 18:00:00+00:00
0.2018,0.2018,0.2009,0.2015,227688.0,2023-08-11 19:00:00+00:00
0.2015,0.2019,0.2011,0.2019,213132.0,2023-08-11 20:00:00+00:00
0.2019,0.2025,0.2018,0.2023,322489.0,2023-08-11 21:00:00+00:00
0.2024,0.2025,0.202,0.2023,213608.0,2023-08-11 22:00:00+00:00
0.2024,0.2024,0.2018,0.2024,157899.0,2023-08-11 23:00:00+00:00
0.2024,0.203,0.2018,0.2028,239771.0,2023-08-12 00:00:00+00:00
0.2029,0.2029,0.2023,0.2026,232963.0,2023-08-12 01:00:00+00:00
0.2027,0.2028,0.2021,0.2021,187130.0,2023-08-12 02:00:00+00:00
0.2021,0.2023,0.2016,0.2018,182336.0,2023-08-12 03:00:00+00:00
0.2018,0.2023,0.2017,0.2019,161380.0,2023-08-12 04:00:00+00:00
0.202,0.2024,0.2019,0.2024,133806.0,2023-08-12 05:00:00+00:00
0.2023,0.2023,0.2014,0.2017,415738.0,2023-08-12 06:00:00+00:00
0.2017,0.2022,0.2017,0.2018,276170.0,2023-08-12 07:00:00+00:00
0.2019,0.2025,0.2015,0.2016,348215.0,2023-08-12 08:00:00+00:00
0.2017,0.2023,0.2016,0.2018,229578.0,2023-08-12 09:00:00+00:00
0.2019,0.2025,0.2018,0.2023,275232.0,2023-08-12 10:00:00+00:00
0.2024,0.2024,0.2018,0.2022,351675.0,2023-08-12 11:00:00+00:00
0.2023,0.2025,0.2019,0.2025,580701.0,2023-08-12 12:00:00+00:00
