open,high,low,close,volume,timestamp
8.039,8.062,8.011,8.055,22485.4,2023-08-09 10:00:00+00:00
8.055,8.065,7.993,8.012,36618.4,2023-08-09 11:00:00+00:00
8.009,8.074,7.966,8.065,92428.0,2023-08-09 12:00:00+00:00
8.07,8.079,7.973,7.973,54073.5,2023-08-09 13:00:00+00:00
7.974,7.991,7.852,7.857,113459.0,2023-08-09 14:00:00+00:00
7.86,7.935,7.839,7.913,84011.1,2023-08-09 15:00:00+00:00
7.915,7.915,7.863,7.883,31966.0,2023-08-09 16:00:00+00:00
7.889,7.907,7.859,7.868,30301.5,2023-08-09 17:00:00+00:00
7.865,7.895,7.829,7.874,26250.1,2023-08-09 18:00:00+00:00
7.874,7.89,7.812,7.835,40863.0,2023-08-09 19:00:00+00:00
7.833,7.877,7.832,7.869,18527.6,2023-08-09 20:00:00+00:00
7.87,7.87,7.801,7.85,30777.2,2023-08-09 21:00:00+00:00
7.849,7.888,7.843,7.888,14170.2,2023-08-09 22:00:00+00:00
7.888,7.925,7.85,7.883,70044.1,2023-08-09 23:00:00+00:00
7.882,7.882,7.846,7.87,19489.6,2023-08-10 00:00:00+00:00
7.868,7.885,7.842,7.872,7448.1,2023-08-10 01:00:00+00:00
7.87,7.877,7.824,7.825,18980.4,2023-08-10 02:00:00+00:00
7.827,7.827,7.651,7.682,232273.7,2023-08-10 03:00:00+00:00
7.681,7.687,7.594,7.598,74927.2,2023-08-10 04:00:00+00:00
7.599,7.659,7.582,7.649,73261.8,2023-08-10 05:00:00+00:00
7.645,7.667,7.605,7.606,87721.3,2023-08-10 06:00:00+00:00
7.605,7.635,7.566,7.598,60242.1,2023-08-10 07:00:00+00:00
7.6,7.604,7.573,7.593,39562.7,2023-08-10 08:00:00+00:00
7.591,7.629,7.553,7.608,92093.2,2023-08-10 09:00:00+00:00
7.61,7.644,7.598,7.63,56147.7,2023-08-10 10:00:00+00:00
7.629,7.643,7.595,7.619,40465.0,2023-08-10 11:00:00+00:00
7.619,7.698,7.607,7.689,96095.7,2023-08-10 12:00:00+00:00
7.688,7.781,7.673,7.78,81052.6,2023-08-10 13:00:00+00:00
7.781,7.798,7.655,7.689,74238.4,2023-08-10 14:00:00+00:00
7.688,7.726,7.685,7.705,30768.1,2023-08-10 15:00:00+00:00
7.707,7.71,7.651,7.663,35561.6,2023-08-10 16:00:00+00:00
7.663,7.683,7.633,7.66,54266.0,2023-08-10 17:00:00+00:00
7.66,7.712,7.641,7.65,25341.8,2023-08-10 18:00:00+00:00
7.65,7.673,7.642,7.665,13092.5,2023-08-10 19:00:00+00:00
7.665,7.708,7.634,7.643,29388.7,2023-08-10 20:00:00+00:00
7.64,7.661,7.64,7.645,8210.3,2023-08-10 21:00:00+00:00
7.648,7.692,7.647,7.681,31277.7,2023-08-10 22:00:00+00:00
7.676,7.702,7.666,7.702,9144.4,2023-08-10 23:00:00+00:00
7.701,7.723,7.683,7.715,10225.4,2023-08-11 00:00:00+00:00
7.719,7.731,7.65,7.687,64022.0,2023-08-11 01:00:00+00:00
7.687,7.708,7.631,7.639,25616.5,2023-08-11 02:00:00+00:00
7.637,7.678,7.624,7.678,32545.0,2023-08-11 03:00:00+00:00
7.678,7.729,7.677,7.715,14146.4,2023-08-11 04:00:00+00:00
7.716,7.731,7.694,7.729,21537.3,2023-08-11 05:00:00+00:00
7.728,7.743,7.716,7.732,20571.6,2023-08-11 06:00:00+00:00
7.727,7.748,7.698,7.706,15956.7,2023-08-11 07:00:00+00:00
7.713,7.741,7.706,7.736,17343.7,2023-08-11 08:00:00+00:00
7.736,7.763,7.725,7.739,34391.6,2023-08-11 09:00:00+00:00
7.738,7.762,7.72,7.75,17905.0,2023-08-11 10:00:00+00:00
7.75,7.766,7.742,7.756,25308.9,2023-08-11 11:00:00+00:00
7.755,7.759,7.714,7.729,29475.3,2023-08-11 12:00:00+00:00
7.728,7.757,7.721,7.753,12026.8,2023-08-11 13:00:00+00:00
7.755,7.759,7.714,7.735,17500.1,2023-08-11 14:00:00+00:00
7.736,7.75,7.617,7.646,53234.1,2023-08-11 15:00:00+00:00
7.646,7.659,7.61,7.642,25178.0,2023-08-11 16:00:00+00:00
7.643,7.653,7.628,7.636,12307.8,2023-08-11 17:00:00+00:00
7.631,7.665,7.631,7.652,27127.9,2023-08-11 18:00:00+00:00
7.651,7.654,7.634,7.644,16411.6,2023-08-11 19:00:00+00:00
7.643,7.665,7.637,7.658,41465.2,2023-08-11 20:00:00+00:00
7.655,7.662,7.631,7.641,11740.2,2023-08-11 21:00:00+00:00
7.641,7.648,7.632,7.639,6103.2,2023-08-11 22:00:00+00:00
7.64,7.641,7.622,7.638,8938.5,2023-08-11 23:00:00+00:00
7.639,7.693,7.616,7.692,20806.2,2023-08-12 00:00:00+00:00
7.692,7.693,7.644,7.673,42548.9,2023-08-12 01:00:00+00:00
7.667,7.674,7.64,7.641,17352.2,2023-08-12 02:00:00+00:00
7.645,7.655,7.628,7.642,8096.1,2023-08-12 03:00:00+00:00
7.643,7.644,7.627,7.64,8320.7,2023-08-12 04:00:00+00:00
7.644,7.659,7.643,7.647,7977.4,2023-08-12 05:00:00+00:00
7.647,7.669,7.637,7.666,9375.7,2023-08-12 06:00:00+00:00
7.667,7.695,7.65,7.678,38967.9,2023-08-12 07:00:00+00:00
7.682,7.682,7.618,7.622,16670.6,2023-08-12 08:00:00+00:00
7.622,7.643,7.621,7.637,11601.2,2023-08-12 09:00:00+00:00
7.638,7.656,7.625,7.653,13704.2,2023-08-12 10:00:00+00:00
7.653,7.659,7.647,7.656,8107.2,2023-08-12 11:00:00+00:00
7.658,7.667,7.653,7.663,9410.7,2023-08-12 12:00:00+00:00
7.66,7.666,7.647,7.653,10454.7,2023-08-12 13:00:00+00:00
7.654,7.686,7.644,7.678,13632.1,2023-08-12 14:00:00+00:00
7.674,7.685,7.649,7.66,11709.4,2023-08-12 15:00:00+00:00
7.661,7.668,7.644,7.647,17604.7,2023-08-12 16:00:00+00:00
7.647,7.665,7.645,7.66,11329.4,2023-08-12 17:00:00+00:00
7.662,7.685,7.659,7.66,15853.8,2023-08-12 18:00:00+00:00
7.657,7.671,7.652,7.671,7787.3,2023-08-12 19:00:00+00:00
7.67,7.681,7.658,7.664,19712.0,2023-08-12 20:00:00+00:00
