open,high,low,close,volume,timestamp
7.337,7.367,7.326,7.343,69937.62,2023-08-08 03:00:00+00:00
7.347,7.41,7.314,7.398,133809.67,2023-08-08 04:00:00+00:00
7.398,7.44,7.379,7.379,256576.62,2023-08-08 05:00:00+00:00
7.38,7.385,7.343,7.343,105395.61,2023-08-08 06:00:00+00:00
7.345,7.376,7.337,7.344,87573.23,2023-08-08 07:00:00+00:00
7.345,7.365,7.332,7.339,67097.84,2023-08-08 08:00:00+00:00
7.338,7.389,7.333,7.377,69261.7,2023-08-08 09:00:00+00:00
7.377,7.414,7.377,7.4,136012.02,2023-08-08 10:00:00+00:00
7.4,7.436,7.38,7.43,110376.23,2023-08-08 11:00:00+00:00
7.431,7.466,7.377,7.45,168890.67,2023-08-08 12:00:00+00:00
7.449,7.462,7.362,7.363,217107.28,2023-08-08 13:00:00+00:00
7.361,7.379,7.332,7.34,141576.55,2023-08-08 14:00:00+00:00
7.341,7.403,7.323,7.365,120281.78,2023-08-08 15:00:00+00:00
7.362,7.431,7.357,7.395,217546.61,2023-08-08 16:00:00+00:00
7.393,7.412,7.343,7.356,175190.26,2023-08-08 17:00:00+00:00
7.359,7.437,7.343,7.347,221127.37,2023-08-08 18:00:00+00:00
7.352,7.409,7.337,7.348,171495.05,2023-08-08 19:00:00+00:00
7.348,7.446,7.343,7.444,114246.31,2023-08-08 20:00:00+00:00
7.444,7.534,7.425,7.499,495223.01,2023-08-08 21:00:00+00:00
7.499,7.516,7.411,7.441,191752.53,2023-08-08 22:00:00+00:00
7.442,7.466,7.419,7.461,100153.57,2023-08-08 23:00:00+00:00
7.458,7.485,7.435,7.442,80111.76,2023-08-09 00:00:00+00:00
7.442,7.487,7.422,7.448,87791.4,2023-08-09 01:00:00+00:00
7.447,7.474,7.381,7.386,204818.27,2023-08-09 02:00:00+00:00
7.383,7.4,7.378,7.392,41033.02,2023-08-09 03:00:00+00:00
7.391,7.443,7.382,7.435,29964.92,2023-08-09 04:00:00+00:00
7.435,7.486,7.431,7.486,58047.26,2023-08-09 05:00:00+00:00
7.485,7.487,7.443,7.477,84714.19,2023-08-09 06:00:00+00:00
7.476,7.568,7.47,7.522,149086.58,2023-08-09 07:00:00+00:00
7.522,7.546,7.49,7.512,88242.73,2023-08-09 08:00:00+00:00
7.513,7.552,7.502,7.535,64057.1,2023-08-09 09:00:00+00:00
7.535,7.616,7.519,7.606,210893.33,2023-08-09 10:00:00+00:00
7.605,7.683,7.603,7.642,239354.32,2023-08-09 11:00:00+00:00
7.642,7.919,7.638,7.83,973141.66,2023-08-09 12:00:00+00:00
7.829,7.838,7.73,7.737,436677.47,2023-08-09 13:00:00+00:00
7.737,7.858,7.733,7.76,499814.08,2023-08-09 14:00:00+00:00
7.761,7.813,7.705,7.715,464869.39,2023-08-09 15:00:00+00:00
7.714,7.747,7.655,7.688,297053.01,2023-08-09 16:00:00+00:00
7.69,7.748,7.661,7.692,313213.02,2023-08-09 17:00:00+00:00
7.691,7.731,7.685,7.691,125019.42,2023-08-09 18:00:00+00:00
7.691,7.718,7.633,7.673,191902.15,2023-08-09 19:00:00+00:00
7.674,7.7,7.635,7.679,226606.44,2023-08-09 20:00:00+00:00
7.681,7.698,7.607,7.692,142208.59,2023-08-09 21:00:00+00:00
7.692,7.759,7.677,7.749,221760.84,2023-08-09 22:00:00+00:00
7.748,7.755,7.678,7.678,125821.65,2023-08-09 23:00:00+00:00
7.678,7.713,7.633,7.65,427018.11,2023-08-10 00:00:00+00:00
7.65,7.686,7.635,7.654,196375.19,2023-08-10 01:00:00+00:00
7.654,7.659,7.625,7.638,54140.79,2023-08-10 02:00:00+00:00
7.637,7.664,7.617,7.618,156072.02,2023-08-10 03:00:00+00:00
7.619,7.643,7.576,7.632,170633.87,2023-08-10 04:00:00+00:00
7.632,7.653,7.61,7.642,52750.29,2023-08-10 05:00:00+00:00
7.642,7.66,7.582,7.601,102959.18,2023-08-10 06:00:00+00:00
7.603,7.625,7.588,7.603,67988.58,2023-08-10 07:00:00+00:00
7.602,7.619,7.576,7.604,129832.87,2023-08-10 08:00:00+00:00
7.604,7.62,7.559,7.619,87175.72,2023-08-10 09:00:00+00:00
7.619,7.667,7.614,7.647,107959.87,2023-08-10 10:00:00+00:00
7.646,7.666,7.616,7.622,100420.31,2023-08-10 11:00:00+00:00
7.623,7.735,7.617,7.694,290206.45,2023-08-10 12:00:00+00:00
7.695,7.712,7.655,7.702,148087.03,2023-08-10 13:00:00+00:00
7.7,7.723,7.628,7.68,240362.14,2023-08-10 14:00:00+00:00
