open,high,low,close,volume,timestamp
82.19,82.36,82.12,82.32,23563.501,2023-08-08 03:00:00+00:00
82.33,83.09,82.2,82.82,49094.349,2023-08-08 04:00:00+00:00
82.82,82.96,82.62,82.71,9886.262,2023-08-08 05:00:00+00:00
82.71,82.93,82.41,82.58,18998.818,2023-08-08 06:00:00+00:00
82.59,82.65,82.24,82.43,23573.722,2023-08-08 07:00:00+00:00
82.42,82.53,82.33,82.43,12902.571,2023-08-08 08:00:00+00:00
82.44,82.58,82.19,82.48,16783.96,2023-08-08 09:00:00+00:00
82.49,82.89,82.46,82.88,10436.664,2023-08-08 10:00:00+00:00
82.87,83.22,82.69,83.22,26446.314,2023-08-08 11:00:00+00:00
83.21,83.79,82.92,83.73,32138.999,2023-08-08 12:00:00+00:00
83.73,83.84,82.81,82.93,49266.969,2023-08-08 13:00:00+00:00
82.94,83.54,82.83,83.35,48901.988,2023-08-08 14:00:00+00:00
83.35,84.74,83.35,84.02,59951.754,2023-08-08 15:00:00+00:00
84.02,85.28,83.96,84.97,49704.179,2023-08-08 16:00:00+00:00
84.97,85.47,84.41,84.54,46859.038,2023-08-08 17:00:00+00:00
84.55,85.14,83.99,84.36,48921.612,2023-08-08 18:00:00+00:00
84.36,84.62,84.1,84.33,55413.089,2023-08-08 19:00:00+00:00
84.33,84.49,84.12,84.17,22110.246,2023-08-08 20:00:00+00:00
84.17,84.93,83.76,84.26,42878.647,2023-08-08 21:00:00+00:00
84.25,84.32,83.86,83.93,16833.989,2023-08-08 22:00:00+00:00
83.94,84.21,83.86,83.86,12107.488,2023-08-08 23:00:00+00:00
83.85,84.33,83.75,83.99,14796.466,2023-08-09 00:00:00+00:00
83.99,84.39,83.83,84.26,10840.506,2023-08-09 01:00:00+00:00
84.26,84.33,83.6,83.65,22296.562,2023-08-09 02:00:00+00:00
83.66,83.8,83.56,83.77,12070.6,2023-08-09 03:00:00+00:00
83.78,84.12,83.69,84.04,9097.975,2023-08-09 04:00:00+00:00
84.04,84.13,83.88,84.1,13956.804,2023-08-09 05:00:00+00:00
84.1,84.2,83.61,83.83,16837.042,2023-08-09 06:00:00+00:00
83.83,84.14,83.82,84.07,12034.304,2023-08-09 07:00:00+00:00
84.07,84.23,83.91,84.13,11475.764,2023-08-09 08:00:00+00:00
84.12,84.15,83.92,83.95,9327.507,2023-08-09 09:00:00+00:00
83.96,84.29,83.84,84.26,18643.992,2023-08-09 10:00:00+00:00
84.25,84.31,83.77,83.99,16007.024,2023-08-09 11:00:00+00:00
83.99,84.61,83.78,84.49,32603.142,2023-08-09 12:00:00+00:00
84.48,84.6,83.85,83.91,25898.748,2023-08-09 13:00:00+00:00
83.9,84.14,83.47,83.51,27992.167,2023-08-09 14:00:00+00:00
83.51,83.74,83.41,83.64,13163.239,2023-08-09 15:00:00+00:00
83.64,83.69,83.13,83.35,29321.634,2023-08-09 16:00:00+00:00
83.36,83.67,83.19,83.51,15998.422,2023-08-09 17:00:00+00:00
83.52,84.0,83.43,83.76,13263.345,2023-08-09 18:00:00+00:00
83.77,83.96,83.48,83.58,12660.138,2023-08-09 19:00:00+00:00
83.6,83.96,83.48,83.85,9061.945,2023-08-09 20:00:00+00:00
83.85,83.85,83.21,83.7,15255.877,2023-08-09 21:00:00+00:00
83.7,83.95,83.6,83.94,7963.234,2023-08-09 22:00:00+00:00
83.94,84.25,83.86,84.08,11025.959,2023-08-09 23:00:00+00:00
84.08,84.35,83.99,84.17,13394.493,2023-08-10 00:00:00+00:00
84.16,84.33,84.05,84.13,11815.568,2023-08-10 01:00:00+00:00
84.11,84.39,84.1,84.18,7184.987,2023-08-10 02:00:00+00:00
84.18,84.24,84.11,84.12,6861.004,2023-08-10 03:00:00+00:00
84.13,84.27,84.02,84.23,6558.347,2023-08-10 04:00:00+00:00
84.23,84.27,83.86,84.09,10348.176,2023-08-10 05:00:00+00:00
84.1,84.18,83.71,83.76,11371.917,2023-08-10 06:00:00+00:00
83.76,84.05,83.74,83.93,7543.685,2023-08-10 07:00:00+00:00
83.92,84.03,83.87,83.92,11254.844,2023-08-10 08:00:00+00:00
83.92,83.95,83.64,83.87,49533.746,2023-08-10 09:00:00+00:00
83.87,83.94,83.72,83.84,7699.674,2023-08-10 10:00:00+00:00
83.84,83.86,83.4,83.44,17008.924,2023-08-10 11:00:00+00:00
83.43,84.03,83.4,83.76,23717.796,2023-08-10 12:00:00+00:00
83.77,84.13,83.57,83.98,18177.622,2023-08-10 13:00:00+00:00
83.99,84.15,83.21,83.51,24258.949,2023-08-10 14:00:00+00:00
83.51,83.61,83.38,83.39,11334.071,2023-08-10 15:00:00+00:00
83.38,83.41,83.04,83.11,10966.264,2023-08-10 16:00:00+00:00
83.11,83.16,82.77,83.01,12347.979,2023-08-10 17:00:00+00:00
83.01,83.14,82.96,83.02,6206.114,2023-08-10 18:00:00+00:00
