open,high,low,close,volume,timestamp
1.334,1.337,1.332,1.334,65973.0,2023-08-08 03:00:00+00:00
1.335,1.343,1.332,1.341,63707.8,2023-08-08 04:00:00+00:00
1.341,1.342,1.336,1.339,78282.6,2023-08-08 05:00:00+00:00
1.339,1.349,1.336,1.34,244999.4,2023-08-08 06:00:00+00:00
1.34,1.341,1.335,1.337,63631.3,2023-08-08 07:00:00+00:00
1.337,1.34,1.335,1.337,69077.1,2023-08-08 08:00:00+00:00
1.338,1.344,1.336,1.343,105189.9,2023-08-08 09:00:00+00:00
1.343,1.349,1.342,1.348,86951.0,2023-08-08 10:00:00+00:00
1.349,1.357,1.344,1.356,165474.1,2023-08-08 11:00:00+00:00
1.357,1.364,1.351,1.361,245942.3,2023-08-08 12:00:00+00:00
1.362,1.365,1.347,1.348,325083.0,2023-08-08 13:00:00+00:00
1.347,1.353,1.347,1.348,114172.0,2023-08-08 14:00:00+00:00
1.348,1.361,1.347,1.357,94321.6,2023-08-08 15:00:00+00:00
1.356,1.37,1.356,1.367,160967.2,2023-08-08 16:00:00+00:00
1.367,1.371,1.363,1.363,128569.9,2023-08-08 17:00:00+00:00
1.364,1.375,1.361,1.363,136259.8,2023-08-08 18:00:00+00:00
1.363,1.372,1.362,1.365,130459.3,2023-08-08 19:00:00+00:00
1.365,1.367,1.361,1.365,68502.3,2023-08-08 20:00:00+00:00
1.366,1.376,1.364,1.367,857442.1,2023-08-08 21:00:00+00:00
1.367,1.371,1.356,1.359,1089970.4,2023-08-08 22:00:00+00:00
1.359,1.363,1.359,1.36,147842.2,2023-08-08 23:00:00+00:00
1.361,1.366,1.359,1.362,111263.8,2023-08-09 00:00:00+00:00
1.363,1.367,1.359,1.361,66998.3,2023-08-09 01:00:00+00:00
1.362,1.362,1.352,1.352,139568.5,2023-08-09 02:00:00+00:00
1.352,1.356,1.35,1.354,59390.7,2023-08-09 03:00:00+00:00
1.354,1.357,1.352,1.355,42144.2,2023-08-09 04:00:00+00:00
1.356,1.36,1.355,1.356,41578.0,2023-08-09 05:00:00+00:00
1.357,1.358,1.35,1.356,117434.6,2023-08-09 06:00:00+00:00
1.355,1.361,1.353,1.359,96225.1,2023-08-09 07:00:00+00:00
1.359,1.361,1.356,1.36,114973.6,2023-08-09 08:00:00+00:00
1.36,1.361,1.355,1.357,122599.0,2023-08-09 09:00:00+00:00
1.357,1.362,1.353,1.361,99796.9,2023-08-09 10:00:00+00:00
1.362,1.364,1.357,1.36,86714.8,2023-08-09 11:00:00+00:00
1.36,1.372,1.357,1.371,227052.3,2023-08-09 12:00:00+00:00
1.371,1.373,1.357,1.357,207396.0,2023-08-09 13:00:00+00:00
1.357,1.359,1.344,1.345,307367.7,2023-08-09 14:00:00+00:00
1.344,1.348,1.341,1.346,217618.2,2023-08-09 15:00:00+00:00
1.347,1.349,1.342,1.345,165913.0,2023-08-09 16:00:00+00:00
1.345,1.349,1.34,1.341,127522.1,2023-08-09 17:00:00+00:00
1.341,1.349,1.34,1.344,82545.9,2023-08-09 18:00:00+00:00
1.345,1.347,1.339,1.341,70285.2,2023-08-09 19:00:00+00:00
1.341,1.345,1.34,1.345,48836.8,2023-08-09 20:00:00+00:00
1.345,1.345,1.334,1.344,146483.4,2023-08-09 21:00:00+00:00
1.344,1.348,1.343,1.348,49394.7,2023-08-09 22:00:00+00:00
1.347,1.351,1.347,1.349,61252.0,2023-08-09 23:00:00+00:00
1.35,1.352,1.347,1.352,74289.8,2023-08-10 00:00:00+00:00
1.351,1.352,1.346,1.349,63012.8,2023-08-10 01:00:00+00:00
1.349,1.35,1.343,1.344,46877.6,2023-08-10 02:00:00+00:00
1.344,1.344,1.341,1.343,81388.4,2023-08-10 03:00:00+00:00
1.343,1.345,1.339,1.344,46679.2,2023-08-10 04:00:00+00:00
1.345,1.345,1.34,1.344,56113.8,2023-08-10 05:00:00+00:00
1.345,1.346,1.335,1.337,183952.6,2023-08-10 06:00:00+00:00
1.336,1.34,1.335,1.337,76389.4,2023-08-10 07:00:00+00:00
1.336,1.338,1.334,1.338,56736.6,2023-08-10 08:00:00+00:00
1.337,1.341,1.334,1.34,97676.9,2023-08-10 09:00:00+00:00
1.341,1.342,1.338,1.34,57379.0,2023-08-10 10:00:00+00:00
1.341,1.341,1.333,1.334,78274.5,2023-08-10 11:00:00+00:00
1.334,1.346,1.333,1.341,380830.9,2023-08-10 12:00:00+00:00
1.342,1.344,1.336,1.343,185465.0,2023-08-10 13:00:00+00:00
1.343,1.347,1.331,1.333,359712.1,2023-08-10 14:00:00+00:00
1.332,1.335,1.33,1.332,154087.6,2023-08-10 15:00:00+00:00
1.333,1.337,1.33,1.333,124454.0,2023-08-10 16:00:00+00:00
1.333,1.333,1.327,1.333,166582.2,2023-08-10 17:00:00+00:00
1.333,1.335,1.331,1.335,54050.1,2023-08-10 18:00:00+00:00
1.334,1.335,1.33,1.332,56323.6,2023-08-10 19:00:00+00:00
1.333,1.337,1.332,1.335,31338.4,2023-08-10 20:00:00+00:00
1.335,1.337,1.334,1.337,30066.6,2023-08-10 21:00:00+00:00
1.337,1.34,1.333,1.336,45963.0,2023-08-10 22:00:00+00:00
1.336,1.337,1.334,1.336,44270.0,2023-08-10 23:00:00+00:00
1.336,1.339,1.333,1.338,72325.8,2023-08-11 00:00:00+00:00
1.338,1.339,1.336,1.337,56926.0,2023-08-11 01:00:00+00:00
1.336,1.34,1.329,1.33,145659.3,2023-08-11 02:00:00+00:00
1.329,1.331,1.324,1.329,179769.7,2023-08-11 03:00:00+00:00
1.329,1.335,1.329,1.335,32987.4,2023-08-11 04:00:00+00:00
1.335,1.337,1.331,1.336,52062.7,2023-08-11 05:00:00+00:00
1.336,1.337,1.334,1.336,68528.1,2023-08-11 06:00:00+00:00
1.336,1.337,1.33,1.331,45572.1,2023-08-11 07:00:00+00:00
1.331,1.333,1.329,1.33,49748.5,2023-08-11 08:00:00+00:00
1.33,1.332,1.328,1.329,70329.9,2023-08-11 09:00:00+00:00
1.329,1.331,1.327,1.329,67978.6,2023-08-11 10:00:00+00:00
1.329,1.331,1.328,1.33,47752.3,2023-08-11 11:00:00+00:00
1.331,1.334,1.327,1.327,95356.1,2023-08-11 12:00:00+00:00
1.327,1.333,1.325,1.332,72851.1,2023-08-11 13:00:00+00:00
1.332,1.337,1.329,1.332,315229.6,2023-08-11 14:00:00+00:00
1.333,1.334,1.324,1.327,114606.5,2023-08-11 15:00:00+00:00
1.326,1.33,1.32,1.324,132636.5,2023-08-11 16:00:00+00:00
1.324,1.328,1.323,1.325,66411.6,2023-08-11 17:00:00+00:00
1.325,1.328,1.323,1.323,49974.2,2023-08-11 18:00:00+00:00
1.324,1.326,1.321,1.325,57019.4,2023-08-11 19:00:00+00:00
1.326,1.329,1.325,1.329,32128.7,2023-08-11 20:00:00+00:00
1.329,1.331,1.329,1.331,42284.2,2023-08-11 21:00:00+00:00
1.33,1.334,1.33,1.332,35546.9,2023-08-11 22:00:00+00:00
1.333,1.335,1.332,1.333,39351.9,2023-08-11 23:00:00+00:00
1.334,1.338,1.33,1.337,66401.4,2023-08-12 00:00:00+00:00
1.338,1.338,1.331,1.334,112514.6,2023-08-12 01:00:00+00:00
1.334,1.335,1.331,1.331,62856.6,2023-08-12 02:00:00+00:00
1.331,1.334,1.33,1.333,52017.9,2023-08-12 03:00:00+00:00
1.333,1.338,1.333,1.336,86556.8,2023-08-12 04:00:00+00:00
1.336,1.341,1.336,1.341,238426.7,2023-08-12 05:00:00+00:00
1.34,1.343,1.34,1.342,57713.8,2023-08-12 06:00:00+00:00
1.342,1.345,1.341,1.342,58210.5,2023-08-12 07:00:00+00:00
1.343,1.356,1.34,1.349,638290.0,2023-08-12 08:00:00+00:00
1.349,1.353,1.346,1.352,158371.6,2023-08-12 09:00:00+00:00
1.352,1.358,1.351,1.355,175353.3,2023-08-12 10:00:00+00:00
1.355,1.356,1.351,1.352,74762.6,2023-08-12 11:00:00+00:00
1.352,1.353,1.349,1.35,56444.2,2023-08-12 12:00:00+00:00
1.35,1.353,1.346,1.347,96459.4,2023-08-12 13:00:00+00:00
1.347,1.349,1.345,1.348,71216.8,2023-08-12 14:00:00+00:00
1.349,1.35,1.343,1.345,175942.7,2023-08-12 15:00:00+00:00
1.345,1.348,1.337,1.343,619643.3,2023-08-12 16:00:00+00:00
1.344,1.347,1.343,1.344,77751.4,2023-08-12 17:00:00+00:00
1.344,1.347,1.34,1.344,169208.0,2023-08-12 18:00:00+00:00
1.344,1.344,1.338,1.339,56945.3,2023-08-12 19:00:00+00:00
1.339,1.343,1.338,1.341,53993.0,2023-08-12 20:00:00+00:00
1.341,1.345,1.339,1.344,47886.3,2023-08-12 21:00:00+00:00
1.344,1.349,1.344,1.345,90458.8,2023-08-12 22:00:00+00:00
1.345,1.346,1.342,1.343,36549.6,2023-08-12 23:00:00+00:00
1.344,1.346,1.34,1.346,79535.0,2023-08-13 00:00:00+00:00
1.346,1.35,1.343,1.347,61757.4,2023-08-13 01:00:00+00:00
1.348,1.348,1.343,1.343,77633.1,2023-08-13 02:00:00+00:00
1.344,1.345,1.339,1.342,101460.7,2023-08-13 03:00:00+00:00
1.341,1.341,1.339,1.34,39000.9,2023-08-13 04:00:00+00:00
1.339,1.339,1.335,1.336,71030.5,2023-08-13 05:00:00+00:00
1.336,1.341,1.333,1.341,100919.6,2023-08-13 06:00:00+00:00
1.34,1.342,1.34,1.341,75247.0,2023-08-13 07:00:00+00:00
1.34,1.342,1.338,1.341,64826.3,2023-08-13 08:00:00+00:00
1.34,1.341,1.339,1.339,34449.7,2023-08-13 09:00:00+00:00
1.34,1.343,1.34,1.343,32084.0,2023-08-13 10:00:00+00:00
1.343,1.345,1.342,1.344,27489.5,2023-08-13 11:00:00+00:00
1.344,1.348,1.343,1.347,52504.0,2023-08-13 12:00:00+00:00
1.347,1.347,1.343,1.345,48021.9,2023-08-13 13:00:00+00:00
1.346,1.35,1.346,1.349,72789.5,2023-08-13 14:00:00+00:00
1.349,1.35,1.343,1.348,195573.4,2023-08-13 15:00:00+00:00
1.349,1.351,1.345,1.346,120379.1,2023-08-13 16:00:00+00:00
1.346,1.351,1.345,1.351,64331.1,2023-08-13 17:00:00+00:00
1.351,1.356,1.351,1.355,120491.9,2023-08-13 18:00:00+00:00
1.354,1.358,1.354,1.356,110662.5,2023-08-13 19:00:00+00:00
1.357,1.357,1.352,1.354,47387.3,2023-08-13 20:00:00+00:00
1.354,1.354,1.348,1.351,69617.1,2023-08-13 21:00:00+00:00
1.35,1.351,1.336,1.338,239693.7,2023-08-13 22:00:00+00:00
1.337,1.342,1.336,1.34,60780.2,2023-08-13 23:00:00+00:00
1.34,1.349,1.336,1.349,141071.9,2023-08-14 00:00:00+00:00
1.349,1.351,1.346,1.346,70799.1,2023-08-14 01:00:00+00:00
1.346,1.35,1.335,1.348,131223.9,2023-08-14 02:00:00+00:00
1.347,1.351,1.347,1.348,76102.0,2023-08-14 03:00:00+00:00
1.349,1.352,1.348,1.352,44621.8,2023-08-14 04:00:00+00:00
1.352,1.355,1.351,1.353,56115.8,2023-08-14 05:00:00+00:00
1.353,1.354,1.347,1.348,49538.9,2023-08-14 06:00:00+00:00
1.348,1.349,1.344,1.346,126364.5,2023-08-14 07:00:00+00:00
1.346,1.351,1.343,1.344,140912.9,2023-08-14 08:00:00+00:00
1.344,1.348,1.343,1.346,127598.4,2023-08-14 09:00:00+00:00
1.346,1.347,1.344,1.346,37863.4,2023-08-14 10:00:00+00:00
1.346,1.347,1.341,1.342,48165.2,2023-08-14 11:00:00+00:00
1.342,1.342,1.336,1.339,94764.3,2023-08-14 12:00:00+00:00
1.338,1.341,1.337,1.338,86491.8,2023-08-14 13:00:00+00:00
1.338,1.347,1.338,1.345,74681.9,2023-08-14 14:00:00+00:00
1.345,1.353,1.343,1.352,101692.7,2023-08-14 15:00:00+00:00
1.353,1.354,1.349,1.351,77474.6,2023-08-14 16:00:00+00:00
1.35,1.352,1.339,1.34,94254.0,2023-08-14 17:00:00+00:00
1.34,1.341,1.33,1.332,195196.2,2023-08-14 18:00:00+00:00
1.332,1.337,1.328,1.335,163235.2,2023-08-14 19:00:00+00:00
1.335,1.338,1.332,1.337,102310.8,2023-08-14 20:00:00+00:00
1.337,1.338,1.334,1.337,45789.9,2023-08-14 21:00:00+00:00
1.338,1.34,1.336,1.337,86575.1,2023-08-14 22:00:00+00:00
1.337,1.34,1.335,1.337,46569.8,2023-08-14 23:00:00+00:00
1.336,1.341,1.335,1.34,69820.4,2023-08-15 00:00:00+00:00
1.34,1.342,1.336,1.338,105691.5,2023-08-15 01:00:00+00:00
1.338,1.341,1.336,1.336,64699.2,2023-08-15 02:00:00+00:00
1.336,1.337,1.331,1.332,77850.7,2023-08-15 03:00:00+00:00
1.331,1.334,1.33,1.332,59213.6,2023-08-15 04:00:00+00:00
1.332,1.332,1.324,1.326,95384.3,2023-08-15 05:00:00+00:00
1.325,1.33,1.324,1.329,96267.7,2023-08-15 06:00:00+00:00
1.328,1.33,1.323,1.33,71814.0,2023-08-15 07:00:00+00:00
1.33,1.333,1.329,1.332,81573.9,2023-08-15 08:00:00+00:00
1.331,1.333,1.33,1.332,55250.8,2023-08-15 09:00:00+00:00
1.332,1.336,1.33,1.335,97818.1,2023-08-15 10:00:00+00:00
1.335,1.336,1.329,1.329,74215.7,2023-08-15 11:00:00+00:00
1.329,1.334,1.327,1.332,92277.8,2023-08-15 12:00:00+00:00
1.331,1.336,1.327,1.327,133979.2,2023-08-15 13:00:00+00:00
1.328,1.334,1.324,1.331,97618.3,2023-08-15 14:00:00+00:00
1.331,1.333,1.326,1.33,158707.8,2023-08-15 15:00:00+00:00
1.329,1.33,1.323,1.324,185714.5,2023-08-15 16:00:00+00:00
1.324,1.325,1.322,1.324,59750.4,2023-08-15 17:00:00+00:00
1.323,1.324,1.313,1.32,257555.4,2023-08-15 18:00:00+00:00
1.32,1.32,1.222,1.27,2324003.6,2023-08-15 19:00:00+00:00
1.27,1.28,1.267,1.274,212255.0,2023-08-15 20:00:00+00:00
1.274,1.286,1.272,1.285,165067.9,2023-08-15 21:00:00+00:00
1.285,1.288,1.277,1.28,106111.5,2023-08-15 22:00:00+00:00
1.279,1.284,1.277,1.281,147686.5,2023-08-15 23:00:00+00:00
1.28,1.287,1.279,1.282,123012.2,2023-08-16 00:00:00+00:00
1.283,1.29,1.281,1.287,131740.3,2023-08-16 01:00:00+00:00
1.287,1.291,1.285,1.289,70066.7,2023-08-16 02:00:00+00:00
1.289,1.29,1.281,1.281,81914.1,2023-08-16 03:00:00+00:00
1.282,1.284,1.277,1.278,93430.8,2023-08-16 04:00:00+00:00
1.277,1.278,1.27,1.272,177186.9,2023-08-16 05:00:00+00:00
1.272,1.276,1.265,1.271,369917.6,2023-08-16 06:00:00+00:00
1.271,1.275,1.265,1.266,197090.0,2023-08-16 07:00:00+00:00
1.266,1.268,1.259,1.262,298299.1,2023-08-16 08:00:00+00:00
1.262,1.264,1.251,1.255,219394.9,2023-08-16 09:00:00+00:00
1.255,1.262,1.252,1.259,161565.8,2023-08-16 10:00:00+00:00
1.259,1.26,1.248,1.248,298242.1,2023-08-16 11:00:00+00:00
1.247,1.249,1.226,1.236,790407.3,2023-08-16 12:00:00+00:00
1.237,1.241,1.227,1.232,312859.3,2023-08-16 13:00:00+00:00
1.232,1.243,1.229,1.239,402385.6,2023-08-16 14:00:00+00:00
1.24,1.242,1.231,1.232,218679.7,2023-08-16 15:00:00+00:00
1.231,1.233,1.223,1.231,300750.6,2023-08-16 16:00:00+00:00
1.231,1.239,1.223,1.239,260968.1,2023-08-16 17:00:00+00:00
1.239,1.248,1.235,1.242,233469.0,2023-08-16 18:00:00+00:00
