open,high,low,close,volume,timestamp
0.064,0.48,0.064,0.1734,327660307.9,2023-08-15 12:00:00+00:00
0.1735,0.1969,0.1726,0.1804,104541986.3,2023-08-15 13:00:00+00:00
0.1804,0.191,0.1799,0.1886,31906743.5,2023-08-15 14:00:00+00:00
0.1886,0.197,0.186,0.1903,42899613.6,2023-08-15 15:00:00+00:00
0.1903,0.1905,0.1695,0.1723,31955524.3,2023-08-15 16:00:00+00:00
0.1722,0.1835,0.1674,0.1818,37833853.0,2023-08-15 17:00:00+00:00
0.1815,0.1821,0.1724,0.1733,9530584.4,2023-08-15 18:00:00+00:00
0.1733,0.1792,0.167,0.1728,12967312.8,2023-08-15 19:00:00+00:00
0.1729,0.1759,0.1675,0.1681,7547138.0,2023-08-15 20:00:00+00:00
0.1681,0.1725,0.1662,0.1678,7373780.2,2023-08-15 21:00:00+00:00
0.1679,0.171,0.1655,0.1679,10246930.1,2023-08-15 22:00:00+00:00
0.1681,0.179,0.1654,0.1789,13140297.3,2023-08-15 23:00:00+00:00
0.1788,0.187,0.1722,0.1818,13982039.3,2023-08-16 00:00:00+00:00
0.1817,0.2383,0.1703,0.2241,84101071.2,2023-08-16 01:00:00+00:00
0.224,0.2337,0.208,0.2295,70481644.3,2023-08-16 02:00:00+00:00
0.2298,0.25,0.2107,0.2421,66512280.1,2023-08-16 03:00:00+00:00
0.2418,0.2606,0.2162,0.2183,76565814.1,2023-08-16 04:00:00+00:00
0.2184,0.2495,0.205,0.228,107745048.7,2023-08-16 05:00:00+00:00
0.2279,0.2288,0.2114,0.2231,48197539.5,2023-08-16 06:00:00+00:00
0.2231,0.231,0.2146,0.2307,29175248.4,2023-08-16 07:00:00+00:00
0.2307,0.267,0.2305,0.2519,96367159.5,2023-08-16 08:00:00+00:00
0.2518,0.2775,0.251,0.2626,67833742.7,2023-08-16 09:00:00+00:00
0.2626,0.283,0.2553,0.2674,51622619.0,2023-08-16 10:00:00+00:00
0.2675,0.2757,0.2443,0.252,59753806.1,2023-08-16 11:00:00+00:00
0.252,0.2553,0.2263,0.2275,61997441.7,2023-08-16 12:00:00+00:00
0.2275,0.231,0.2155,0.218,64494169.4,2023-08-16 13:00:00+00:00
0.2179,0.2287,0.2171,0.2188,43682194.4,2023-08-16 14:00:00+00:00
0.2189,0.2226,0.195,0.2033,84071568.5,2023-08-16 15:00:00+00:00
0.2033,0.2081,0.1976,0.2,52070133.7,2023-08-16 16:00:00+00:00
0.2002,0.2007,0.1902,0.197,34206726.2,2023-08-16 17:00:00+00:00
0.1971,0.1999,0.1822,0.185,44130071.0,2023-08-16 18:00:00+00:00
0.185,0.1948,0.1848,0.1913,22413493.3,2023-08-16 19:00:00+00:00
0.1913,0.1937,0.1851,0.1878,23801148.9,2023-08-16 20:00:00+00:00
0.1878,0.1899,0.186,0.1887,26585779.0,2023-08-16 21:00:00+00:00
0.1887,0.2018,0.1851,0.1994,47149163.2,2023-08-16 22:00:00+00:00
0.1995,0.2174,0.1978,0.2148,43152142.8,2023-08-16 23:00:00+00:00
0.2146,0.2155,0.1965,0.202,41423386.8,2023-08-17 00:00:00+00:00
0.2021,0.2106,0.1994,0.2086,30258714.6,2023-08-17 01:00:00+00:00
0.2087,0.2132,0.1888,0.1905,36293868.1,2023-08-17 02:00:00+00:00
0.1905,0.197,0.1895,0.1941,36677174.6,2023-08-17 03:00:00+00:00
0.1942,0.2006,0.192,0.1998,20655119.4,2023-08-17 04:00:00+00:00
0.1998,0.202,0.1934,0.1953,18593876.5,2023-08-17 05:00:00+00:00
0.1953,0.1963,0.187,0.1915,22638714.7,2023-08-17 06:00:00+00:00
0.1915,0.194,0.1877,0.1924,16923319.1,2023-08-17 07:00:00+00:00
0.1927,0.1927,0.1844,0.1869,17415558.1,2023-08-17 08:00:00+00:00
0.1869,0.1876,0.18,0.1837,26898232.6,2023-08-17 09:00:00+00:00
0.1837,0.187,0.1811,0.1854,18204513.3,2023-08-17 10:00:00+00:00
0.1854,0.1859,0.177,0.1796,28961170.6,2023-08-17 11:00:00+00:00
0.1796,0.1802,0.171,0.1755,29167138.0,2023-08-17 12:00:00+00:00
0.1755,0.1835,0.1745,0.1776,24071200.0,2023-08-17 13:00:00+00:00
0.1776,0.183,0.1756,0.1818,18910449.2,2023-08-17 14:00:00+00:00
0.1817,0.1862,0.1776,0.1804,23872136.9,2023-08-17 15:00:00+00:00
0.1805,0.1805,0.1711,0.176,29996075.7,2023-08-17 16:00:00+00:00
0.1759,0.179,0.1751,0.1765,7521135.9,2023-08-17 17:00:00+00:00
0.1766,0.1809,0.1757,0.1783,9570856.2,2023-08-17 18:00:00+00:00
0.1783,0.183,0.1772,0.1811,6447243.4,2023-08-17 19:00:00+00:00
0.1811,0.1844,0.1772,0.1779,10067430.3,2023-08-17 20:00:00+00:00
0.178,0.1806,0.155,0.1622,30957819.1,2023-08-17 21:00:00+00:00
0.1622,0.1718,0.1595,0.1706,21570474.7,2023-08-17 22:00:00+00:00
0.1706,0.1767,0.1672,0.1717,21080568.3,2023-08-17 23:00:00+00:00
0.1716,0.1769,0.163,0.1657,27064597.4,2023-08-18 00:00:00+00:00
0.1658,0.1661,0.1591,0.1625,20311524.1,2023-08-18 01:00:00+00:00
0.1625,0.1625,0.1482,0.1488,51458741.0,2023-08-18 02:00:00+00:00
0.1489,0.1558,0.1483,0.1551,25828007.2,2023-08-18 03:00:00+00:00
0.155,0.1575,0.1506,0.1556,18045994.5,2023-08-18 04:00:00+00:00
0.1558,0.1624,0.1555,0.1575,27630255.9,2023-08-18 05:00:00+00:00
0.1575,0.1715,0.1571,0.1672,46079108.7,2023-08-18 06:00:00+00:00
0.1672,0.1674,0.1612,0.1624,24633265.0,2023-08-18 07:00:00+00:00
0.1624,0.1652,0.1585,0.1632,19432984.3,2023-08-18 08:00:00+00:00
0.1632,0.1644,0.1595,0.1597,13548740.3,2023-08-18 09:00:00+00:00
0.1596,0.1619,0.1565,0.1596,12611371.3,2023-08-18 10:00:00+00:00
