open,high,low,close,volume,timestamp
5.86,5.866,5.846,5.849,7741.44,2023-08-08 03:00:00+00:00
5.851,5.887,5.833,5.881,29972.51,2023-08-08 04:00:00+00:00
5.881,5.92,5.876,5.897,39070.2,2023-08-08 05:00:00+00:00
5.896,5.898,5.864,5.865,34828.03,2023-08-08 06:00:00+00:00
5.863,5.863,5.838,5.84,14652.53,2023-08-08 07:00:00+00:00
5.841,5.853,5.835,5.838,9230.22,2023-08-08 08:00:00+00:00
5.838,5.857,5.835,5.856,12375.85,2023-08-08 09:00:00+00:00
5.857,5.894,5.856,5.888,23312.64,2023-08-08 10:00:00+00:00
5.889,5.922,5.874,5.921,33426.24,2023-08-08 11:00:00+00:00
5.922,5.954,5.899,5.954,75897.67,2023-08-08 12:00:00+00:00
5.952,5.96,5.867,5.869,96968.11,2023-08-08 13:00:00+00:00
5.868,5.91,5.867,5.909,30861.42,2023-08-08 14:00:00+00:00
5.91,5.99,5.907,5.982,74832.77,2023-08-08 15:00:00+00:00
5.981,6.062,5.97,6.039,105769.25,2023-08-08 16:00:00+00:00
6.04,6.124,6.033,6.094,82262.14,2023-08-08 17:00:00+00:00
6.093,6.148,6.082,6.103,98223.13,2023-08-08 18:00:00+00:00
6.103,6.131,6.077,6.081,114468.31,2023-08-08 19:00:00+00:00
6.079,6.118,6.069,6.103,57096.6,2023-08-08 20:00:00+00:00
6.104,6.147,6.085,6.094,50895.5,2023-08-08 21:00:00+00:00
6.092,6.099,6.06,6.062,26828.94,2023-08-08 22:00:00+00:00
6.061,6.096,6.06,6.081,44049.61,2023-08-08 23:00:00+00:00
6.081,6.087,6.049,6.059,40071.62,2023-08-09 00:00:00+00:00
6.059,6.099,6.042,6.077,22102.95,2023-08-09 01:00:00+00:00
6.078,6.089,6.035,6.043,27248.9,2023-08-09 02:00:00+00:00
6.047,6.064,6.045,6.047,11672.93,2023-08-09 03:00:00+00:00
6.048,6.072,6.043,6.065,38618.63,2023-08-09 04:00:00+00:00
6.066,6.076,6.056,6.067,18849.42,2023-08-09 05:00:00+00:00
6.067,6.096,6.043,6.083,51055.45,2023-08-09 06:00:00+00:00
6.082,6.13,6.082,6.13,42003.5,2023-08-09 07:00:00+00:00
6.129,6.14,6.112,6.132,29754.69,2023-08-09 08:00:00+00:00
6.131,6.16,6.124,6.14,109670.68,2023-08-09 09:00:00+00:00
6.14,6.152,6.104,6.136,57328.33,2023-08-09 10:00:00+00:00
6.136,6.175,6.108,6.127,87509.52,2023-08-09 11:00:00+00:00
6.126,6.192,6.109,6.18,83735.82,2023-08-09 12:00:00+00:00
6.179,6.188,6.132,6.132,42531.12,2023-08-09 13:00:00+00:00
6.131,6.16,6.111,6.112,33541.87,2023-08-09 14:00:00+00:00
6.111,6.127,6.083,6.126,56281.65,2023-08-09 15:00:00+00:00
6.124,6.152,6.12,6.13,44137.39,2023-08-09 16:00:00+00:00
6.129,6.155,6.092,6.096,35433.67,2023-08-09 17:00:00+00:00
6.096,6.146,6.092,6.126,21881.38,2023-08-09 18:00:00+00:00
6.127,6.162,6.122,6.138,41494.44,2023-08-09 19:00:00+00:00
6.14,6.159,6.133,6.157,23017.73,2023-08-09 20:00:00+00:00
6.158,6.175,6.106,6.17,29237.5,2023-08-09 21:00:00+00:00
6.171,6.217,6.17,6.212,60301.84,2023-08-09 22:00:00+00:00
6.211,6.309,6.207,6.249,172043.29,2023-08-09 23:00:00+00:00
6.25,6.264,6.223,6.259,39198.46,2023-08-10 00:00:00+00:00
6.259,6.287,6.24,6.285,48124.39,2023-08-10 01:00:00+00:00
6.286,6.332,6.277,6.288,95793.75,2023-08-10 02:00:00+00:00
6.287,6.327,6.287,6.299,60559.29,2023-08-10 03:00:00+00:00
6.299,6.326,6.265,6.266,61578.35,2023-08-10 04:00:00+00:00
6.265,6.271,6.223,6.241,125744.73,2023-08-10 05:00:00+00:00
6.238,6.254,6.205,6.223,40746.75,2023-08-10 06:00:00+00:00
6.222,6.244,6.219,6.238,26330.82,2023-08-10 07:00:00+00:00
6.234,6.261,6.215,6.235,32587.05,2023-08-10 08:00:00+00:00
6.236,6.253,6.218,6.253,24812.74,2023-08-10 09:00:00+00:00
6.253,6.277,6.24,6.258,35297.54,2023-08-10 10:00:00+00:00
6.259,6.27,6.23,6.25,37393.48,2023-08-10 11:00:00+00:00
6.25,6.35,6.238,6.301,282243.0,2023-08-10 12:00:00+00:00
6.302,6.314,6.269,6.29,58632.76,2023-08-10 13:00:00+00:00
6.289,6.309,6.177,6.183,79784.34,2023-08-10 14:00:00+00:00
6.185,6.209,6.171,6.208,79260.05,2023-08-10 15:00:00+00:00
6.208,6.216,6.188,6.2,17949.44,2023-08-10 16:00:00+00:00
6.202,6.202,6.152,6.176,20960.77,2023-08-10 17:00:00+00:00
6.174,6.191,6.163,6.181,26867.39,2023-08-10 18:00:00+00:00
6.18,6.204,6.178,6.198,20763.88,2023-08-10 19:00:00+00:00
6.198,6.208,6.167,6.171,14580.9,2023-08-10 20:00:00+00:00
6.171,6.205,6.17,6.204,11367.08,2023-08-10 21:00:00+00:00
6.204,6.232,6.194,6.208,20641.42,2023-08-10 22:00:00+00:00
6.208,6.208,6.187,6.191,26335.36,2023-08-10 23:00:00+00:00
6.192,6.217,6.177,6.217,35373.04,2023-08-11 00:00:00+00:00
6.216,6.219,6.165,6.166,22158.92,2023-08-11 01:00:00+00:00
6.164,6.172,6.134,6.137,38138.73,2023-08-11 02:00:00+00:00
6.137,6.202,6.13,6.176,60815.88,2023-08-11 03:00:00+00:00
6.176,6.198,6.171,6.188,14249.88,2023-08-11 04:00:00+00:00
6.188,6.199,6.172,6.198,38911.45,2023-08-11 05:00:00+00:00
6.198,6.203,6.186,6.198,9832.18,2023-08-11 06:00:00+00:00
6.195,6.198,6.164,6.169,11847.08,2023-08-11 07:00:00+00:00
6.168,6.172,6.15,6.161,22598.01,2023-08-11 08:00:00+00:00
6.161,6.168,6.128,6.134,45998.15,2023-08-11 09:00:00+00:00
6.135,6.139,6.107,6.137,56842.11,2023-08-11 10:00:00+00:00
6.137,6.183,6.137,6.183,18205.61,2023-08-11 11:00:00+00:00
6.183,6.19,6.142,6.144,19581.14,2023-08-11 12:00:00+00:00
6.144,6.153,6.125,6.153,20586.48,2023-08-11 13:00:00+00:00
6.152,6.179,6.147,6.173,65527.56,2023-08-11 14:00:00+00:00
6.173,6.179,6.111,6.132,37701.4,2023-08-11 15:00:00+00:00
6.132,6.151,6.113,6.133,47433.38,2023-08-11 16:00:00+00:00
6.132,6.16,6.128,6.144,14987.02,2023-08-11 17:00:00+00:00
6.14,6.16,6.118,6.128,50635.83,2023-08-11 18:00:00+00:00
6.128,6.139,6.103,6.138,45213.8,2023-08-11 19:00:00+00:00
6.138,6.179,6.137,6.178,38289.39,2023-08-11 20:00:00+00:00
6.178,6.194,6.166,6.193,18507.42,2023-08-11 21:00:00+00:00
6.194,6.195,6.172,6.182,11420.88,2023-08-11 22:00:00+00:00
6.182,6.205,6.175,6.201,17469.69,2023-08-11 23:00:00+00:00
6.201,6.256,6.18,6.248,51762.71,2023-08-12 00:00:00+00:00
6.246,6.249,6.196,6.196,31918.87,2023-08-12 01:00:00+00:00
6.197,6.203,6.177,6.185,17905.73,2023-08-12 02:00:00+00:00
6.185,6.19,6.166,6.178,9610.6,2023-08-12 03:00:00+00:00
6.177,6.215,6.17,6.179,69078.36,2023-08-12 04:00:00+00:00
6.178,6.185,6.145,6.147,53088.04,2023-08-12 05:00:00+00:00
6.148,6.167,6.145,6.159,10396.91,2023-08-12 06:00:00+00:00
6.158,6.169,6.152,6.156,21717.82,2023-08-12 07:00:00+00:00
6.157,6.161,6.118,6.128,32364.17,2023-08-12 08:00:00+00:00
